id,onstreet_spots,offstreet_spots
-1036530810#2,1,NA
-10365711,4,NA
-1036709243,9,NA
-1036709244,7,NA
-1036709245#0,23,NA
-1036709245#1,34,NA
-1036709246#0,1,NA
-1036709246#1,15,NA
-10369406#1,10,NA
-1037060788#2,24,NA
-1037060805,7,NA
-1037376131,22,NA
-1037380049,28,NA
-1037625692#0,2,NA
-1037625692#1,2,NA
-1037625693,35,NA
-103764004,62,NA
-103764007,39,NA
-103765158,34,NA
-103765159,34,NA
-103766109,18,NA
-1037693685#0,3,NA
-1037693685#1,3,NA
-1037693686#0,48,NA
-1037694027,18,NA
-1037694028#0,3,NA
-1037694028#1,3,NA
-1037710423,31,NA
-1037712675,3,NA
-1037951875,18,NA
-103844041#4,25,NA
-103844045,58,127
-103844052,23,20
-103844054,24,NA
-1039414460,17,NA
-1039422507,70,NA
-1039425453#0,15,NA
-1039425453#1,14,NA
-1039425453#2,16,NA
-1039425453#3,14,NA
-1039425453#4,13,NA
-1039425453#5,12,NA
-1039459020#0,34,NA
-1039459020#1,16,NA
-1039459020#2,6,NA
-1039459374,20,4
-1039463196,33,NA
-1039463851#2,32,NA
-1039582677#0,14,NA
-1039582677#1,9,NA
-1039584767,14,NA
-1039584769,14,NA
-1039584770#0,36,NA
-1039584770#1,24,NA
-1039584772,21,NA
-1039671478,37,NA
-1039687723#2,5,NA
-1040172511,10,NA
-1040630268,37,NA
-1040630269,14,152
-1040630552,22,NA
-1040724106,0,NA
-1040750487#0,21,NA
-1040750487#1,38,NA
-1040768633,3,NA
-1040827626,18,NA
-1040930907,19,NA
-10410472#0,37,NA
-10410472#2,40,NA
-1041197742#0,2,NA
-1041197742#1,2,NA
-1041197743#2,6,NA
-1041197919#0,3,NA
-1041197919#1,3,NA
-1041197920,35,NA
-1041198553,11,NA
-1041198554,16,NA
-1041253674,1,NA
-1041253679,9,NA
-1041406175#0,16,NA
-1041406175#1,15,NA
-1041406175#3,13,NA
-1041406175#4,22,NA
-1041406175#5,19,NA
-1041407825,12,NA
-1041407831,30,NA
-1041453418,19,NA
-1041454496,16,NA
-1041455676,13,63
-1041502977#0,22,NA
-1041502977#1,13,NA
-1041502983#0,9,NA
-1041502984,17,NA
-10416383,79,45
-1041671664,17,NA
