id,offstreet_spots
-128266208,56
-128276155,4
-128406003#0,251
-128445127#1,10
-128978595,9
-129953984,2
-131509860,11
-131834986#1,8
-13236305,17
-132645611#0,7
-133988451,19
-133988495#2,28
-133988505,6
-135777011,19
-135777013#4,9
-135777022#0,27
-135887713,6
-136024345#3,105
-136086628,6
-13621313,29
-13628162,67
-136699502,6
-136699504,119
-136814967,57
-136892620,15
-136892623,64
-137071144,37
-137499661,4
-137685678#0,19
-137685678#1,12
-137685680#1,15
-137685680#7,22
-137685684#2,70
-137720668,3
-13782288#1,11
-138515677#0,18
-138515677#1,157
-138515677#3,12
-13853633#3,8
-13853647,15
-138624452#2,42
-138988452,37
-140244087#0,75
-14025489,76
-14029900#0,44
-14029900#1,7
-140336718#0,13
-140336718#1,78
-14038926,27
-140648431#2,21
-140656352,170
-140914766,77
-140964910#1,20
-141128588,25
-14118453,5
-14126967,9
-14127262#1,5
-14146636,19
-141575942#6,3
-141804253#0,13
-141806548,15
-141968830#1,29
-141968897#0,19
-142062901#0,9
-142062901#1,15
-142064614#0,11
-142161211#5,9
-142161211#8,18
-142161213,5
-142571958#1,13
-142575087#2,95
-142575656#0,80
-142575661#1,88
-142575674#3,1
-142575677#0,337
-142575684#2,24
-142575688#1,38
-142575690#0,88
-142575694,21
-142575699#0,205
-142575700,18
-142575701,18
-142575702#0,16
-142575702#1,10
-142575704#1,31
-142575704#4,18
-142575709,29
-142576835#0,6
-142593458,3
-142594115,23
-142721904#0,16
-142721905#0,21
-142810575#3,105
-142964434#1,15
-142964440#2,31
-143308505,30
-143308521#1,10
-143308521#2,22
-143308562#0,9
-14369669#1,23
-144128719#0,22
-14439904,46
-14471014#0,12
-14471014#8,21
-14471021#0,6
-14471022#0,33
-14471023#1,34
-14471023#2,17
-14471023#3,27
-14471026,99
-14471028#1,28
-14472210#0,17
-14472760#1,14
-144884824#6,40
-144887742,4
-144909690#1,63
-144909694#0,84
-144909694#2,104
-144945039#3,65
-145009991#2,35
-145055197#3,63
-145486353,8
-145586617#0,152
-145586617#1,24
-145586617#2,10
-145586623,32
-145671826#1,20
-145671846,112
-145795392,6
-145795402,21
-145795412,11
-145933306#0,8
-145933306#8,25
-146170261,214
-146384555,47
-14648925#0,17
-14648926,11
-14648934,15
-14648938#2,12
-146511456#1,24
-146511456#2,15
-14652679#3,24
-14652681,19
-14652695,12
-146851765,10
-146911424,226
-147061003#1,3
-147061004,6
-147163380,27
-147432268,41
-147470064#2,17
-147615858,36
-147615860#2,5
-147664165,21
-14771586#2,59
-147717015,8
-147948799#2,8
-147970915#4,22
-148035228#1,5
-148035530,27
-148074488#0,11
-148074488#1,57
-148074488#2,132
-148083732#1,100
-148083732#2,16
-148085112,7
-148086366#0,32
-148086367#0,17
-148086369#0,44
-148086369#2,13
-148090086#4,76
-148091027,6
-148288810#0,33
-148288887,42
-148288888,4
-148295053,13
-148295312#1,104
-148301557,21
-148304354#0,97
-148305612#3,10
-148308465#1,17
-148326359,55
-148331037#3,19
-148521790#1,15
-148614159#0,13
-148626871#2,19
-148631575,6
-148631586,19
-148631925,34
-148666420#5,16
-148666653,14
-148671104#0,15
-148700326,11
-148708810#0,76
-148789442#5,5
-148789444#1,37
-148789444#2,15
-148803147,38
-148808638#0,57
-148808638#1,29
-148808648#3,45
-148809345,32
-149522099#0,43
-149522099#1,43
-149522099#2,15
-149522099#6,52
-149522550#2,24
-149611534,14
-149614353,1
-149849309,29
-149849312#0,14
-149849320#1,30
-149849709#0,13
-149849709#1,11
-149992813,22
-149994029#0,6
-150057235#3,74
-150066312#2,40
-150295648,12
-150398444,83
-150512436#3,19
-150512735#1,16
-150512829#1,110
-150514947#3,21
-150519560,12
-150685494,36
-151020311#0,59
-151022182,14
-151043578#7,5
-151353910#3,143
-151353915,61
-151353923#3,14
-151353934#0,25
-151353934#1,30
-151354728#1,10
-151354728#2,146
-151354736#1,47
-151355528#1,21
-151368584,4
-151369411#1,153
-151370250#0,73
-151456841#0,13
-151457917,25
-151465251#0,27
-151465251#4,104
-151465258,19
-151465278,9
-151526149#1,39
-151571111,50
-151618244#1,6
-151618244#12,48
-151618244#2,10
-151618244#8,8
-151618245#0,17
-151618247,14
-151618882#0,23
-151618888,10
-151618891,23
-151619286#1,28
-151619640#0,10
-151627026,4
-151742395#2,13
-151742472#1,6
-151742487,28
-151742533#2,18
-152177246#0,50
-152201909,14
-152258340#1,143
-152258358#2,17
-152258358#3,7
-152264789,53
-152264795,3
-152267860#0,12
-152343390#0,10
-152343393#0,7
-152354555#1,12
-152354600#5,120
-152354673,56
-152354689#1,51
-152434842#0,16
-152466390,33
-152466416,7
-152495050,4
-152593434#0,28
-152593441,6
-152593448#2,25
-152596640,8
-152596648,55
-152699780,80
-152863256,18
-152863274#0,4
-152863346#6,1
-153260655,12
-153260679#0,28
-153260697#0,14
-153372178,88
-153604256#1,2
-153604268,40
-153617353,17
-153750715#0,10
-153750715#1,4
-153947834,23
-153947855,31
-153959868#0,47
-153959890#2,20
-153959911#0,5
-153959915,4
-153959936#2,22
-154381204#2,88
-154381224#0,20
-154686474#1,103
-154686476,11
-154837267#4,127
-154837273,15
-154837277#0,18
-154837300#0,29
-154838410#0,19
-154946523,28
-155071540,29
-155586422,40
-155586445#0,24
-155594942#0,10
-155594947,8
-155594948,7
-155594966,78
-155594970#1,8
-155594984#0,15
-155594984#1,4
-155594998#1,12
-155595000,58
-155595019,4
-155595021,9
-155605278#0,73
-155605278#1,7
-155605279#2,6
-155605298,30
-155605334,8
-155605352#0,33
-155605353,10
-155605363#0,14
-155605363#1,4
-155605364,2
-155629813#0,7
-15564868,34
-155829539,8
-156314744,49
-156314745#3,13
-156346039#0,31
-156346040#2,11
-156346044#0,30
-156346046#0,93
-156346049#0,83
-156346066#1,36
-156346071#1,18
-156346078#2,79
-156346082#2,23
-156346083#2,5
-156346083#3,57
-156346084#1,19
-156346087#0,34
-156346087#1,6
-156346099#0,50
-156346109#0,15
-156350661#1,13
-156350662#0,10
-156350666#0,18
-156350689,26
-156350691#0,9
-156350691#1,6
-156350706#1,35
-156350709#1,97
-156579463#0,22
-156579467#0,51
-156579467#1,71
-156579469#4,13
-156579473#0,35
-156579474,14
-156579477,8
-156597527#0,18
-156597535#3,38
-156597542,22
-156597548,24
-156817982#2,20
-157044919#0,26
-157110895#3,32
-157449747,25
-157597999#1,11
-157669323,8
-157717100,16
-158184094,20
-158579651#2,8
-158579656#2,6
-158580757#2,9
-158580766#0,22
-15920077#0,35
-15926759,11
-160120060,35
-160130955,41
-160131077#1,69
-160578059#3,22
-160765449,8
-160818099#0,12
-16141447#0,16
-161677833,14
-161677835#0,5
-161677838,54
-161677842#2,59
-161755130#2,27
-161777868#1,22
-162120177#1,233
-16275161#0,38
-16307590,18
-16307914,30
-16308100,4
-16308412#0,27
-16308639,57
-16308802#0,56
-163196852#2,45
-163209068#2,15
-163209069#0,25
-163209201,108
-163379149,11
-163607786#1,110
-16416877#2,7
-16416877#5,18
-16416877#6,7
-16417777,10
-16417969#0,10
-16417969#1,10
-16418132,12
-16418363#1,4
-16418546#1,17
-16418546#2,7
-16418546#3,3
-16418546#4,9
-16418700,37
-16419109#0,32
-16419109#1,29
-16419289#1,6
-16419437,29
-16419590#0,7
-16419590#1,5
-16419794,4
-16420680,54
-16420774,14
-16421057#0,33
-16421204#0,34
-16421204#1,38
-164244548,15
-164874299#0,9
-164927484,23
-165842689,65
-165885550,35
-165940365,118
-165940366#0,18
-165951045#0,15
-166645719#9,22
-166645720#2,17
-167070931#0,21
-16750370#2,32
-16750375,2
-16756591,19
-167650971,19
-16769178,70
-168890013#2,17
-169076559#0,11
-169753571,20
-169753576#0,13
-169760010#5,49
-170149081#1,17
-171046613,64
-171672073#0,39
-171867090#0,72
-172014854,27
-172078684,20
-172219124#2,48
-172219124#3,16
-172219124#6,13
-172219133#0,3
-172219133#4,3
-172243641,16
-172248643#0,13
-172403418#0,8
-172425896#2,44
-172535407#0,22
-172561912,50
-172780076#2,56
-172843719#0,31
-172844044,31
-172920331,10
-172921853,68
-172922876,35
-172959776#1,59
-173210316#2,58
-174182908#0,15
-174182916,48
-174907146,74
-175081981#0,17
-175298126#1,116
-175569520,35
-175574445#1,25
-175736260#2,1
-175744669#4,10
-175788230#1,20
-175912412,9
-175916577#0,11
-175916644#2,25
-176019867#1,18
-176050262#1,12
-176050263#0,47
-176050263#2,239
-176050268#1,32
-176050273,5
-176050278,32
-176050279#0,37
-176050279#1,49
-176089775,871
-176213808#4,25
-176338608,41
-176621902#2,23
-176621932,50
-176753803,30
-177146163#3,8
-177615722,12
-177839806#0,106
-177839806#1,17
-177839808,74
-178253966,124
-178427798,9
-178482293,94
-179164044#0,27
-179404218#0,23
-179404218#2,11
-180442271,5
-180952487,10
-181092057#2,12
-181407580#7,35
-181468992,21
-182331748#1,106
-182575045,2
-182600492#0,18
-182782708#3,6
-182782708#4,92
-182859952,76
-183076346,34
-183255748#1,40
-183346840#0,16
-183346840#2,73
-183346850#1,101
-183346853#1,59
-183614197#0,30
-183640394#3,43
-183765247#0,6
-183790893#2,18
-184119642,6
-184213172#1,19
-184213172#2,26
-184453350,102
-18467854#2,22
-18467854#4,97
-184792423,19
-184792424#2,26
-184873899,17
-185569567,58
-185570453#0,5
-185779390,51
-185897613,8
-18631699#5,11
-18652308#0,29
-18758681,5
-187651222#2,30
-18830956#2,10
-188467885#2,166
-188691973,13
-188865521,13
-188865522,5
-188866873#2,5
-189033370#2,27
-18908134#0,1
-190083616,145
-19064221,6
-190701274#2,32
-190964860,89
-191256029,12
-191529699,37
-191630981,59
-191731514#0,66
-191731514#1,32
-19200525,10
-19200527#3,49
-192204863,61
-192505645,81
-193373939,4
-193572045,37
-193753604,51
-193856554#4,10
-193875628#3,5
-19394863,14
-19394866,19
-19394869#0,21
-19394870,20
-19394874,24
-19402895,6
-19402906,116
-19402922#0,9
-19402926,24
-194058539#2,61
-19431337#0,14
-19431372,37
-19431482,4
-19431915#0,4
-19431915#1,5
-19433195,9
-19433427,7
-19435555#1,3
-19435555#2,23
-19435640,8
-195104960,58
-195327122,16
-195327171#0,184
-195332174,12
-195337819,33
-195396731#1,36
-195418554,95
-195439132#0,126
-195441525,31
-195441529,69
-195441536,27
-19589130#0,16
-196522674,3
-19660028#4,7
-196961376#2,15
-196961376#7,50
-197740392#0,7
-19794871#1,40
-19800045#2,12
-19800239,3
-19822677,127
-19822683,7
-19827981,9
-198375753,73
-198585459#0,89
-198597173,74
-19875855#0,11
-19875855#2,41
-19881555,5
-19898272#3,32
-19898272#7,19
-200767356,15
-200767368,171
-200767370,21
-200767372,59
-200767375,68
-200775246#2,76
-20135894,217
-20163728#0,25
-201855152#0,45
-201855152#3,8
-20207501#3,14
-20207504,9
-20209202,13
-202499433,12
-202499434#1,127
-202499434#2,123
-203450551#2,7
-203910774,11
-203910777#1,14
-203910783#0,9
-203910783#1,8
-203910783#2,5
-203910792#1,16
-203912352,9
-20425707#0,85
-20430927#0,83
-20430927#1,179
-20431210#0,67
-20431210#1,53
