pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---home_85800.0	118	24	3	2	0	0	1	1	0	0	0	0	0
car interaction---home_86400.0	104	15	7	0	1	2	0	0	0	0	0	0	0
car interaction---home_87000.0	97	20	6	2	1	1	0	0	0	0	0	0	1
car interaction---home_87600.0	95	23	10	5	0	1	1	0	0	0	0	0	0
car interaction---home_88200.0	114	14	5	5	1	0	0	1	0	0	0	0	0
car interaction---home_88800.0	99	23	5	0	1	1	0	1	0	1	0	1	0
car interaction---home_89400.0	115	16	8	3	2	0	0	0	0	0	0	0	0
car interaction---home_9000.0	104	14	4	1	0	2	0	0	0	0	0	0	0
car interaction---home_90000.0	113	25	9	2	0	0	0	0	0	0	0	0	0
car interaction---home_90600.0	135	32	4	0	0	0	0	0	1	0	0	0	0
car interaction---home_91200.0	137	34	5	3	0	3	1	1	0	0	0	0	0
car interaction---home_91800.0	153	42	12	1	4	1	0	0	0	1	0	1	0
car interaction---home_92400.0	176	39	16	6	2	1	1	1	0	0	0	0	0
car interaction---home_93000.0	207	40	10	3	1	1	1	1	0	0	1	0	0
car interaction---home_93600.0	214	35	6	3	4	0	1	0	0	0	0	0	0
car interaction---home_94200.0	203	41	11	4	0	2	0	1	0	0	0	0	0
car interaction---home_94800.0	216	29	8	5	0	0	0	0	0	0	0	0	0
car interaction---home_95400.0	198	25	7	1	1	1	0	0	0	0	0	0	0
car interaction---home_9600.0	113	16	4	3	0	0	0	0	0	0	0	0	0
car interaction---home_96000.0	102	5	3	1	0	1	1	0	0	0	0	0	0
car interaction---home_96600.0	29	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---home_97200.0	3	0	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_10200.0	75	12	6	3	1	1	0	0	1	0	0	0	0
car interaction---leisure_10800.0	63	11	2	0	0	0	0	0	0	1	0	0	0
car interaction---leisure_11400.0	56	4	9	1	0	1	0	0	0	0	0	0	0
car interaction---leisure_1200.0	1386	255	90	39	21	9	7	4	2	0	0	0	1
car interaction---leisure_12000.0	56	10	2	2	2	0	0	0	0	0	0	0	0
car interaction---leisure_12600.0	49	8	6	0	0	1	0	0	0	0	0	0	0
car interaction---leisure_13200.0	44	9	2	1	0	1	0	1	0	0	0	0	0
car interaction---leisure_13800.0	43	4	0	3	1	0	0	0	0	0	0	0	0
car interaction---leisure_14400.0	35	10	2	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_15000.0	24	5	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_15600.0	39	3	3	2	0	0	0	0	1	0	0	0	0
car interaction---leisure_16200.0	24	5	1	0	0	1	0	0	0	0	0	0	0
car interaction---leisure_16800.0	17	5	2	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_17400.0	14	5	2	0	1	0	1	0	1	0	0	0	0
car interaction---leisure_1800.0	1000	179	56	27	17	16	1	3	5	0	0	0	2
car interaction---leisure_18000.0	11	5	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_18600.0	9	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_19200.0	13	3	1	0	0	0	0	0	1	0	0	0	0
car interaction---leisure_19800.0	16	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_20400.0	8	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_21000.0	11	4	1	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_21600.0	14	1	1	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_22200.0	11	1	1	1	0	0	0	1	0	0	0	0	0
car interaction---leisure_22800.0	8	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_23400.0	6	0	0	0	0	0	1	0	0	0	0	0	0
car interaction---leisure_2400.0	657	152	34	16	15	5	4	1	0	0	0	0	0
car interaction---leisure_24000.0	7	0	1	0	0	0	0	1	0	0	0	0	0
car interaction---leisure_24600.0	4	0	1	0	0	1	0	0	0	0	0	0	0
car interaction---leisure_25200.0	1	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_25800.0	3	0	0	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_26400.0	8	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_27000.0	7	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_27600.0	1	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_28200.0	0	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_28800.0	4	0	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_29400.0	4	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_3000.0	571	94	34	16	10	3	4	2	1	0	0	0	0
car interaction---leisure_30000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_30600.0	2	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_31200.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_31800.0	1	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_32400.0	4	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_33600.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_34200.0	0	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_34800.0	2	3	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_35400.0	1	1	0	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_3600.0	454	68	22	11	8	3	2	1	0	1	0	0	0
car interaction---leisure_36000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_4200.0	365	79	21	9	9	2	2	1	0	0	0	0	0
car interaction---leisure_4800.0	286	47	15	9	3	3	1	0	0	1	0	0	0
car interaction---leisure_5400.0	256	31	10	6	3	1	0	1	0	2	1	0	0
car interaction---leisure_600.0	2855	507	145	87	49	20	12	5	4	0	2	0	3
car interaction---leisure_6000.0	190	28	10	6	2	4	0	0	1	0	0	0	0
car interaction---leisure_6600.0	174	28	10	3	1	4	0	0	0	0	0	0	0
car interaction---leisure_7200.0	136	24	11	4	3	0	1	2	0	0	0	0	0
car interaction---leisure_7800.0	136	19	4	3	3	1	1	0	0	0	0	0	0
car interaction---leisure_8400.0	95	18	5	5	1	0	0	0	0	0	0	0	0
car interaction---leisure_9000.0	96	17	7	1	2	0	0	0	0	0	0	0	0
car interaction---leisure_9600.0	86	18	8	3	2	1	0	1	0	0	0	0	0
car interaction---other_10200.0	81	14	1	1	1	1	0	0	0	0	0	0	0
car interaction---other_10800.0	75	9	3	2	2	1	0	0	0	0	0	0	0
car interaction---other_11400.0	58	13	3	1	1	1	0	2	1	0	0	0	0
car interaction---other_1200.0	1641	264	102	42	24	11	5	3	1	1	0	0	2
car interaction---other_12000.0	89	9	5	2	1	3	0	0	1	0	0	0	0
car interaction---other_12600.0	47	4	4	2	0	0	0	0	0	0	0	0	0
car interaction---other_13200.0	42	10	0	2	2	1	0	0	0	0	0	0	0
car interaction---other_13800.0	35	10	4	0	1	1	0	0	0	0	0	0	0
car interaction---other_14400.0	38	8	1	0	1	1	1	0	0	0	0	0	0
car interaction---other_15000.0	32	4	4	1	1	0	0	0	0	0	0	0	0
car interaction---other_15600.0	31	3	1	0	0	0	2	0	0	0	0	0	0
car interaction---other_16200.0	21	10	1	1	0	0	0	0	0	0	0	0	0
car interaction---other_16800.0	23	3	1	0	0	0	0	0	0	0	0	0	1
car interaction---other_17400.0	26	6	0	1	0	0	1	0	0	0	0	1	0
car interaction---other_1800.0	1092	184	66	32	14	7	8	3	1	2	0	1	0
car interaction---other_18000.0	18	3	0	1	0	1	0	0	1	0	0	0	0
car interaction---other_18600.0	12	5	0	0	0	0	1	0	0	0	0	0	0
car interaction---other_19200.0	8	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_19800.0	6	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_20400.0	7	2	0	1	0	0	1	0	0	0	0	0	0
car interaction---other_21000.0	5	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_21600.0	14	3	2	0	0	0	0	0	0	0	0	0	0
car interaction---other_22200.0	6	1	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_22800.0	8	2	0	1	0	1	0	0	0	0	0	0	0
car interaction---other_23400.0	6	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_2400.0	761	111	41	18	15	5	2	4	0	1	0	0	0
car interaction---other_24000.0	8	0	0	2	0	0	0	0	0	0	0	0	0
car interaction---other_24600.0	7	1	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_25200.0	6	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_25800.0	6	1	0	2	0	0	0	0	0	0	0	0	0
car interaction---other_26400.0	4	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_27000.0	0	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_27600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_28200.0	4	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_28800.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_29400.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_3000.0	672	125	35	17	6	2	6	1	2	1	0	0	0
car interaction---other_30600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_31200.0	2	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_32400.0	3	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_33000.0	1	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---other_33600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_34200.0	2	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---other_3600.0	428	79	29	12	11	9	3	2	0	0	0	1	0
car interaction---other_4200.0	411	51	20	8	5	4	2	2	0	0	0	0	0
car interaction---other_4800.0	331	69	22	11	1	2	3	0	1	0	0	0	1
car interaction---other_5400.0	266	52	17	5	1	3	0	3	2	0	1	0	0
car interaction---other_600.0	3904	724	256	112	75	30	19	8	6	3	1	1	1
car interaction---other_6000.0	193	45	14	6	3	3	2	1	1	0	0	0	0
car interaction---other_6600.0	177	25	10	6	2	0	1	0	0	0	0	0	0
car interaction---other_7200.0	181	28	11	6	4	1	0	1	0	0	0	0	0
car interaction---other_7800.0	133	19	6	7	1	1	0	0	0	0	0	0	0
car interaction---other_8400.0	143	27	14	3	4	0	0	1	0	0	0	0	0
car interaction---other_9000.0	109	16	5	0	0	1	1	1	0	0	0	0	0
car interaction---other_9600.0	88	21	4	0	0	0	0	1	1	0	0	0	0
car interaction---shopping_10200.0	50	10	4	1	1	0	0	0	0	0	0	0	0
car interaction---shopping_10800.0	50	3	3	2	1	1	0	0	0	0	0	0	0
car interaction---shopping_11400.0	26	6	1	0	0	1	0	0	0	0	0	0	0
car interaction---shopping_1200.0	1456	259	108	40	23	15	9	5	1	0	2	0	1
car interaction---shopping_12000.0	19	3	0	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_12600.0	28	6	1	1	0	0	0	0	0	0	0	0	0
car interaction---shopping_13200.0	24	4	1	2	0	0	0	0	0	0	0	0	0
car interaction---shopping_13800.0	16	2	1	0	0	0	0	0	0	0	0	0	0
car interaction---shopping_14400.0	20	4	2	0	1	0	0	0	0	0	0	0	0
