Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
41	19:45:56	19:45:56	19:45:57	19:45:57	19:46:13	19:46:13			19:46:13	19:46:13	19:47:05	19:47:05	19:47:05	19:47:05	19:47:05	19:47:05			19:47:07	19:47:07		00:00:00	00:00:16		00:00:00	00:00:51	00:00:00	00:00:00		00:00:01	00:01:10
42	19:47:07	19:47:07	19:47:07	19:47:07	19:47:26	19:47:26			19:47:27	19:47:27	19:48:18	19:48:18	19:48:18	19:48:18	19:48:18	19:48:18			19:48:20	19:48:20		00:00:00	00:00:19		00:00:00	00:00:51	00:00:00	00:00:00		00:00:01	00:01:13
43	19:48:20	19:48:20	19:48:20	19:48:20	19:48:37	19:48:37			19:48:37	19:48:37	19:49:31	19:49:31	19:49:31	19:49:31	19:49:31	19:49:31			19:49:32	19:49:32		00:00:00	00:00:16		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:12
44	19:49:32	19:49:32	19:49:33	19:49:33	19:49:55	19:49:55			19:49:56	19:49:56	19:50:56	19:50:56	19:50:56	19:50:56	19:50:56	19:50:56			19:50:57	19:50:57		00:00:00	00:00:22		00:00:00	00:01:00	00:00:00	00:00:00		00:00:01	00:01:24
45	19:50:58	19:50:58	19:50:58	19:50:58	19:51:16	19:51:16			19:51:16	19:51:16	19:52:15	19:52:15	19:52:15	19:52:15	19:52:15	19:52:15			19:52:17	19:52:17		00:00:00	00:00:18		00:00:00	00:00:58	00:00:00	00:00:00		00:00:01	00:01:19
46	19:52:17	19:52:17	19:52:17	19:52:17	19:52:39	19:52:39			19:52:39	19:52:39	19:53:32	19:53:32	19:53:32	19:53:32	19:53:33	19:53:33			19:53:35	19:53:35		00:00:00	00:00:21		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:18
47	19:53:35	19:53:35	19:53:35	19:53:35	19:53:53	19:53:53			19:53:53	19:53:53	19:54:46	19:54:46	19:54:46	19:54:46	19:54:46	19:54:46			19:54:49	19:54:49		00:00:00	00:00:18		00:00:00	00:00:52	00:00:00	00:00:00		00:00:02	00:01:13
48	19:54:49	19:54:49	19:54:49	19:54:49	19:55:09	19:55:09			19:55:09	19:55:09	19:56:05	19:56:05	19:56:05	19:56:05	19:56:05	19:56:05			19:56:07	19:56:07		00:00:00	00:00:20		00:00:00	00:00:55	00:00:00	00:00:00		00:00:02	00:01:18
49	19:56:08	19:56:08	19:56:08	19:56:08	19:56:24	19:56:24			19:56:24	19:56:24	19:57:20	19:57:20	19:57:20	19:57:20	19:57:20	19:57:20			19:57:22	19:57:22		00:00:00	00:00:15		00:00:00	00:00:55	00:00:00	00:00:00		00:00:02	00:01:14
50	19:57:22	19:57:22	19:57:22	19:57:22	19:57:40	19:57:40			19:57:41	19:57:41	19:58:36	19:58:36	19:58:36	19:58:36	19:58:36	19:58:36	19:58:36	19:58:36	19:58:53	19:58:53		00:00:00	00:00:18		00:00:00	00:00:55	00:00:00	00:00:00	00:00:00	00:00:16	00:01:30
