pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---leisure_34800.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_35400.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_3600.0	393	76	15	11	8	4	2	1	0	0	0	0	0
car interaction---leisure_36000.0	1	1	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_4200.0	351	71	21	9	6	3	2	1	0	0	0	0	0
car interaction---leisure_4800.0	273	45	20	6	4	1	3	1	0	0	0	0	0
car interaction---leisure_5400.0	244	43	14	7	3	3	1	0	0	0	1	0	0
car interaction---leisure_600.0	2594	564	175	88	46	20	11	4	3	1	1	0	1
car interaction---leisure_6000.0	156	27	10	4	8	1	0	2	2	0	0	0	0
car interaction---leisure_6600.0	153	29	13	8	2	2	1	0	1	0	0	0	0
car interaction---leisure_7200.0	115	23	7	5	3	2	0	0	1	0	0	0	0
car interaction---leisure_7800.0	111	18	7	1	1	0	0	0	0	0	0	0	0
car interaction---leisure_8400.0	99	22	7	1	1	0	1	0	0	0	0	0	0
car interaction---leisure_9000.0	103	21	5	2	1	1	0	0	0	0	0	0	0
car interaction---leisure_9600.0	82	16	3	4	1	2	0	0	0	0	0	0	0
car interaction---other_10200.0	72	16	5	2	0	0	0	0	0	0	0	0	0
car interaction---other_10800.0	61	19	3	2	0	0	0	0	0	0	0	0	0
car interaction---other_11400.0	68	10	4	0	1	0	0	0	0	0	0	0	0
car interaction---other_1200.0	1415	293	103	48	28	29	4	5	3	0	0	0	1
car interaction---other_12000.0	80	12	4	1	3	2	0	0	0	0	0	0	0
car interaction---other_12600.0	45	11	5	3	0	1	1	0	0	0	0	0	0
car interaction---other_13200.0	40	12	4	0	1	0	0	0	0	0	0	0	0
car interaction---other_13800.0	33	8	4	1	1	3	0	0	0	0	0	0	0
car interaction---other_14400.0	34	8	3	2	0	0	0	0	0	0	0	0	0
car interaction---other_15000.0	30	2	4	2	2	0	0	0	0	0	0	0	0
car interaction---other_15600.0	31	6	2	1	1	0	0	0	0	0	0	0	0
car interaction---other_16200.0	26	12	3	1	0	0	0	0	0	0	0	0	0
car interaction---other_16800.0	32	3	2	1	1	1	0	0	0	0	0	0	0
car interaction---other_17400.0	20	5	1	0	0	1	0	0	0	0	0	0	0
car interaction---other_1800.0	1031	188	65	28	18	8	3	5	2	0	1	0	0
