age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
25 - 35,,,,,,,5000 - 10000,bike,0.00714525178845766
25 - 35,,,,,,,5000 - 10000,car,0.006469468631623288
25 - 35,,,,,,,5000 - 10000,pt,0.018514209099342118
25 - 35,,,,,,,5000 - 10000,ride,0.0011792754801178322
25 - 35,,,,,,,5000 - 10000,walk,0.00018866159641852678
25 - 35,,,,,,,10000 - 20000,bike,0.0016395575829799966
25 - 35,,,,,,,10000 - 20000,car,0.0058687029850053455
25 - 35,,,,,,,10000 - 20000,pt,0.013135330873607598
25 - 35,,,,,,,10000 - 20000,ride,0.0006755783567638264
25 - 35,,,,,,,10000 - 20000,walk,7.423688459484545e-05
25 - 35,,,,,,,20000+,bike,0.00013675095939469654
25 - 35,,,,,,,20000+,car,0.003561938478892821
25 - 35,,,,,,,20000+,pt,0.006452657651336276
25 - 35,,,,,,,20000+,ride,0.0004869189430278995
25 - 35,,,,,,,20000+,walk,2.4664875835279084e-05
35 - 66,,,,,,,0 - 1000,bike,0.018767973943631885
35 - 66,,,,,,,0 - 1000,car,0.005852253062503732
35 - 66,,,,,,,0 - 1000,pt,0.001222583895659084
35 - 66,,,,,,,0 - 1000,ride,0.0005929641697055336
35 - 66,,,,,,,0 - 1000,walk,0.09609966222035016
35 - 66,,,,,,,1000 - 2000,bike,0.021440930762736468
35 - 66,,,,,,,1000 - 2000,car,0.013402320471081593
35 - 66,,,,,,,1000 - 2000,pt,0.006930927457045121
35 - 66,,,,,,,1000 - 2000,ride,0.00182940376880349
35 - 66,,,,,,,1000 - 2000,walk,0.02013373771019918
35 - 66,,,,,,,2000 - 5000,bike,0.02867892858019107
35 - 66,,,,,,,2000 - 5000,car,0.0306540140499963
35 - 66,,,,,,,2000 - 5000,pt,0.02511400281828082
35 - 66,,,,,,,2000 - 5000,ride,0.003962382877969196
35 - 66,,,,,,,2000 - 5000,walk,0.00586928668118051
35 - 66,,,,,,,5000 - 10000,bike,0.016246350428763018
35 - 66,,,,,,,5000 - 10000,car,0.033073853486548795
35 - 66,,,,,,,5000 - 10000,pt,0.03445283159189375
35 - 66,,,,,,,5000 - 10000,ride,0.00326402230517573
35 - 66,,,,,,,5000 - 10000,walk,0.0007866622142723672
35 - 66,,,,,,,10000 - 20000,bike,0.004941665985263888
35 - 66,,,,,,,10000 - 20000,car,0.02792464406813406
35 - 66,,,,,,,10000 - 20000,pt,0.032644342492031235
35 - 66,,,,,,,10000 - 20000,ride,0.002340623656188577
35 - 66,,,,,,,10000 - 20000,walk,0.00021950303172812345
35 - 66,,,,,,,20000+,bike,0.00041830098334830754
35 - 66,,,,,,,20000+,car,0.014731449973696797
35 - 66,,,,,,,20000+,pt,0.012346321725763982
35 - 66,,,,,,,20000+,ride,0.0012749952596997623
35 - 66,,,,,,,20000+,walk,0.00011121016481649163
66+,,,,,,,0 - 1000,bike,0.004964309147280085
66+,,,,,,,0 - 1000,car,0.0030160764667479757
